postal_code,latitude,longitude,age_group_0,age_group_1,age_group_2,age_group_3,gender_0,gender_1,education_0,education_1,education_2,education_3,education_4,education_5,income_0,income_1,income_2,income_3,income_4,income_5,c_local_y,c_local_n,c_global_y,c_global_n,informed_y,informed_n
M3L,43.73590254273471,-79.51381572378213,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,2,0,2
M3M,43.73026141304348,-79.49459347826087,0,2,1,1,3,1,2,0,0,1,1,0,0,1,1,0,2,0,2,2,2,2,3,1
M3M,43.73026141304348,-79.49459347826087,0,2,1,1,3,1,2,0,0,1,1,0,0,1,1,0,2,0,2,2,2,2,3,1
M3M,43.73026141304348,-79.49459347826087,0,2,1,1,3,1,2,0,0,1,1,0,0,1,1,0,2,0,2,2,2,2,3,1
M3M,43.73026141304348,-79.49459347826087,0,2,1,1,3,1,2,0,0,1,1,0,0,1,1,0,2,0,2,2,2,2,3,1
M3N,43.756459368146075,-79.5212712573707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
M4B,43.70696144278607,-79.30692213930348,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,0,2,1,1
M4B,43.70696144278607,-79.30692213930348,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,0,2,1,1
M4C,43.69050582147477,-79.3123104786546,0,3,1,0,0,0,0,0,0,1,1,2,0,0,1,0,2,1,3,1,3,1,3,1
M4C,43.69050582147477,-79.3123104786546,0,3,1,0,0,0,0,0,0,1,1,2,0,0,1,0,2,1,3,1,3,1,3,1
M4C,43.69050582147477,-79.3123104786546,0,3,1,0,0,0,0,0,0,1,1,2,0,0,1,0,2,1,3,1,3,1,3,1
M4C,43.69050582147477,-79.3123104786546,0,3,1,0,0,0,0,0,0,1,1,2,0,0,1,0,2,1,3,1,3,1,3,1
M4E,43.67816946107784,-79.29493333333333,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,4,0,4,3,1
M4E,43.67816946107784,-79.29493333333333,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,4,0,4,3,1
M4E,43.67816946107784,-79.29493333333333,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,4,0,4,3,1
M4E,43.67816946107784,-79.29493333333333,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,4,0,4,3,1
M4G,43.707170428015566,-79.3689214007782,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,3,0,3
M4G,43.707170428015566,-79.3689214007782,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,3,0,3
M4G,43.707170428015566,-79.3689214007782,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,3,0,3
M4H,43.70490649350649,-79.34642207792207,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,2,0,2
M4H,43.70490649350649,-79.34642207792207,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,2,0,2
M4J,43.68589626307922,-79.33692047832587,2,1,1,0,2,2,0,0,2,0,0,2,1,1,0,1,0,1,3,1,0,4,0,4
M4J,43.68589626307922,-79.33692047832587,2,1,1,0,2,2,0,0,2,0,0,2,1,1,0,1,0,1,3,1,0,4,0,4
M4J,43.68589626307922,-79.33692047832587,2,1,1,0,2,2,0,0,2,0,0,2,1,1,0,1,0,1,3,1,0,4,0,4
M4J,43.68589626307922,-79.33692047832587,2,1,1,0,2,2,0,0,2,0,0,2,1,1,0,1,0,1,3,1,0,4,0,4
M4K,43.68007696969697,-79.35135535353535,1,2,0,1,3,1,0,0,0,0,1,3,0,0,1,1,1,1,0,4,0,4,0,4
M4K,43.68007696969697,-79.35135535353535,1,2,0,1,3,1,0,0,0,0,1,3,0,0,1,1,1,1,0,4,0,4,0,4
M4K,43.68007696969697,-79.35135535353535,1,2,0,1,3,1,0,0,0,0,1,3,0,0,1,1,1,1,0,4,0,4,0,4
M4K,43.68007696969697,-79.35135535353535,1,2,0,1,3,1,0,0,0,0,1,3,0,0,1,1,1,1,0,4,0,4,0,4
M4L,43.67071603206413,-79.3173877755511,2,1,1,1,2,3,1,0,0,0,2,2,0,0,2,0,1,2,0,5,0,5,4,1
M4L,43.67071603206413,-79.3173877755511,2,1,1,1,2,3,1,0,0,0,2,2,0,0,2,0,1,2,0,5,0,5,4,1
M4L,43.67071603206413,-79.3173877755511,2,1,1,1,2,3,1,0,0,0,2,2,0,0,2,0,1,2,0,5,0,5,4,1
M4L,43.67071603206413,-79.3173877755511,2,1,1,1,2,3,1,0,0,0,2,2,0,0,2,0,1,2,0,5,0,5,4,1
M4L,43.67071603206413,-79.3173877755511,2,1,1,1,2,3,1,0,0,0,2,2,0,0,2,0,1,2,0,5,0,5,4,1
M4M,43.66229733656174,-79.34445012106538,0,1,3,0,0,0,0,0,0,0,1,3,0,0,1,0,1,2,0,4,3,1,3,1
M4M,43.66229733656174,-79.34445012106538,0,1,3,0,0,0,0,0,0,0,1,3,0,0,1,0,1,2,0,4,3,1,3,1
M4M,43.66229733656174,-79.34445012106538,0,1,3,0,0,0,0,0,0,0,1,3,0,0,1,0,1,2,0,4,3,1,3,1
M4M,43.66229733656174,-79.34445012106538,0,1,3,0,0,0,0,0,0,0,1,3,0,0,1,0,1,2,0,4,3,1,3,1
M4N,43.72648594104309,-79.39430793650794,0,0,2,1,2,1,0,0,0,0,2,1,0,0,1,0,0,2,1,2,1,2,2,1
M4N,43.72648594104309,-79.39430793650794,0,0,2,1,2,1,0,0,0,0,2,1,0,0,1,0,0,2,1,2,1,2,2,1
M4N,43.72648594104309,-79.39430793650794,0,0,2,1,2,1,0,0,0,0,2,1,0,0,1,0,0,2,1,2,1,2,2,1
M4P,43.71078974358974,-79.38984725274726,1,2,0,0,1,2,0,0,0,1,1,1,1,2,0,0,0,0,2,1,0,3,0,3
M4P,43.71078974358974,-79.38984725274726,1,2,0,0,1,2,0,0,0,1,1,1,1,2,0,0,0,0,2,1,0,3,0,3
M4P,43.71078974358974,-79.38984725274726,1,2,0,0,1,2,0,0,0,1,1,1,1,2,0,0,0,0,2,1,0,3,0,3
