postal_code,gender,age_group,education_group,income_group,concerned_local_binary,concerned_global_binary,informed_binary,latitude,longitude
M5B,Man,1,5,3,TRUE,TRUE,TRUE,43.65920795454546,-79.37883125
M5C,Woman,0,5,5,TRUE,TRUE,TRUE,43.651528125,-79.37619609375
M5C,Man,2,1,3,FALSE,FALSE,TRUE,43.651528125,-79.37619609375
M5E,Woman,2,4,3,TRUE,TRUE,TRUE,43.648779545454545,-79.3747625
M5H,Woman,1,4,3,TRUE,TRUE,FALSE,43.64958306451613,-79.38497338709678
M5H,Man,1,5,5,FALSE,FALSE,TRUE,43.64958306451613,-79.38497338709678
M5J,Woman,0,4,1,TRUE,TRUE,TRUE,43.640783516483516,-79.37925714285714
M5M,Man,0,4,3,TRUE,TRUE,TRUE,43.731749743589745,-79.41785384615385
M5M,Woman,2,5,4,FALSE,TRUE,TRUE,43.731749743589745,-79.41785384615385
M5M,Woman,1,5,5,TRUE,TRUE,TRUE,43.731749743589745,-79.41785384615385
M5M,Man,0,3,2,TRUE,TRUE,TRUE,43.731749743589745,-79.41785384615385
M5N,Woman,3,5,2,TRUE,TRUE,TRUE,43.71100062305296,-79.41883800623053
M5N,Man,3,5,4,FALSE,FALSE,FALSE,43.71100062305296,-79.41883800623053
M5P,Man,0,4,5,FALSE,TRUE,TRUE,43.69642278177458,-79.41217841726619
M5R,Man,0,4,4,TRUE,TRUE,TRUE,43.67374619164619,-79.40216658476659
M5R,Woman,1,5,3,TRUE,TRUE,TRUE,43.67374619164619,-79.40216658476659
M5S,Man,0,4,4,TRUE,FALSE,FALSE,43.664096261682246,-79.3990862928349
M5S,Man,1,4,2,FALSE,FALSE,FALSE,43.664096261682246,-79.3990862928349
M5S,Man,1,5,4,TRUE,TRUE,TRUE,43.664096261682246,-79.3990862928349
M5S,Man,2,4,3,FALSE,TRUE,FALSE,43.664096261682246,-79.3990862928349
M5T,Man,0,1,2,FALSE,TRUE,FALSE,43.65352926136364,-79.39800142045455
M5T,Woman,1,5,3,TRUE,TRUE,TRUE,43.65352926136364,-79.39800142045455
M5V,Woman,0,5,4,TRUE,TRUE,FALSE,43.645242558139536,-79.39588325581396
M5V,Man,0,4,3,TRUE,TRUE,TRUE,43.645242558139536,-79.39588325581396
M5V,Man,1,0,0,TRUE,TRUE,FALSE,43.645242558139536,-79.39588325581396
M5V,Man,1,5,1,TRUE,TRUE,TRUE,43.645242558139536,-79.39588325581396
M5V,Woman,1,5,4,TRUE,TRUE,TRUE,43.645242558139536,-79.39588325581396
M5V,Man,1,5,5,TRUE,TRUE,TRUE,43.645242558139536,-79.39588325581396
M5V,Woman,2,5,5,TRUE,TRUE,TRUE,43.645242558139536,-79.39588325581396
M5V,Man,3,5,5,TRUE,TRUE,FALSE,43.645242558139536,-79.39588325581396
M6A,Man,0,5,1,TRUE,TRUE,TRUE,43.722510447761195,-79.4445943283582
M6A,Woman,3,4,0,TRUE,TRUE,FALSE,43.722510447761195,-79.4445943283582
M6A,Woman,0,0,0,TRUE,TRUE,FALSE,43.722510447761195,-79.4445943283582
M6B,Man,0,0,4,FALSE,TRUE,TRUE,43.70780555555555,-79.44433037037037
M6B,Man,2,4,5,FALSE,FALSE,TRUE,43.70780555555555,-79.44433037037037
M6B,Man,1,0,2,FALSE,FALSE,FALSE,43.70780555555555,-79.44433037037037
M6C,Man,3,2,4,TRUE,TRUE,TRUE,43.69140077821012,-79.43039299610895
M6E,Man,1,4,3,TRUE,TRUE,TRUE,43.68857480680062,-79.44929582689335
M6E,Woman,1,1,3,TRUE,FALSE,TRUE,43.68857480680062,-79.44929582689335
M6E,Man,0,5,2,TRUE,TRUE,TRUE,43.68857480680062,-79.44929582689335
M6E,Woman,1,4,5,TRUE,TRUE,TRUE,43.68857480680062,-79.44929582689335
M6G,Man,2,3,5,TRUE,TRUE,TRUE,43.6680344488189,-79.42075807086614
M6G,Man,2,4,4,TRUE,TRUE,TRUE,43.6680344488189,-79.42075807086614
M6H,Man,0,5,0,TRUE,TRUE,TRUE,43.66518602150538,-79.43651397849462
M6H,Man,0,4,1,TRUE,TRUE,TRUE,43.66518602150538,-79.43651397849462
M6H,Woman,1,4,1,TRUE,TRUE,TRUE,43.66518602150538,-79.43651397849462
M6H,Woman,1,4,2,TRUE,TRUE,TRUE,43.66518602150538,-79.43651397849462
M6H,Man,1,4,4,FALSE,TRUE,TRUE,43.66518602150538,-79.43651397849462
M6H,Woman,2,4,2,TRUE,TRUE,TRUE,43.66518602150538,-79.43651397849462
M6H,Woman,2,3,1,TRUE,TRUE,TRUE,43.66518602150538,-79.43651397849462
M6H,Woman,1,2,1,TRUE,TRUE,FALSE,43.66518602150538,-79.43651397849462
M6H,Woman,1,4,0,TRUE,TRUE,TRUE,43.66518602150538,-79.43651397849462
M6H,Woman,3,2,3,TRUE,TRUE,TRUE,43.66518602150538,-79.43651397849462
M6J,Woman,0,5,5,FALSE,TRUE,TRUE,43.648109684210525,-79.41716421052631
M6J,Woman,1,5,5,TRUE,TRUE,TRUE,43.648109684210525,-79.41716421052631
M6J,Woman,2,2,4,FALSE,FALSE,FALSE,43.648109684210525,-79.41716421052631
M6J,Man,0,4,5,FALSE,TRUE,TRUE,43.648109684210525,-79.41716421052631
M6J,Woman,3,5,1,TRUE,TRUE,TRUE,43.648109684210525,-79.41716421052631
M6J,Man,2,4,4,TRUE,TRUE,TRUE,43.648109684210525,-79.41716421052631
M6J,Man,1,4,5,TRUE,TRUE,FALSE,43.648109684210525,-79.41716421052631
M6K,Woman,0,5,5,TRUE,TRUE,TRUE,43.642249653579675,-79.42839953810623
M6K,Man,1,2,0,TRUE,TRUE,TRUE,43.642249653579675,-79.42839953810623
M6K,Man,1,3,3,TRUE,TRUE,TRUE,43.642249653579675,-79.42839953810623
M6L,Woman,0,1,0,TRUE,TRUE,FALSE,43.71341940700809,-79.48777897574124
M6L,Woman,2,3,5,TRUE,TRUE,FALSE,43.71341940700809,-79.48777897574124
M6L,Man,1,0,2,TRUE,TRUE,FALSE,43.71341940700809,-79.48777897574124
M6L,Man,2,5,5,TRUE,TRUE,TRUE,43.71341940700809,-79.48777897574124
M6M,Woman,3,0,1,TRUE,TRUE,TRUE,43.692451457725944,-79.48036209912536
M6M,Woman,0,0,0,FALSE,FALSE,FALSE,43.692451457725944,-79.48036209912536
